Case Number,Case Title,Requesting Court,Topics,Judgment ECLI,Judgment CELEX,Has AG Opinion,AG Opinion Title,AG Opinion ECLI,Has Summary,Summary CELEX
Case C-638/22 PPU,Case C-638/22 PPU T.C. and Others  (Suspension of the return decision),Request for a preliminary ruling from the Sąd Apelacyjny w Warszawie,"Reference for a preliminary ruling – Urgent preliminary ruling procedure – Area of freedom, security and justice – Judicial cooperation in civil matters – Jurisdiction, recognition and enforcement of decisions in matrimonial matters and in the matters of parental responsibility – International child abduction – 1980 Hague Convention – Regulation (EC) No 2201/2003 – Article 11 – Application for return of a child – Final decision ordering the return of a child – Legislation of a Member State providing for automatic suspension of the enforcement of that decision in the event that a request is made by certain national authorities",ECLI:EU:C:2023:103,62022CJ0638,Yes,Opinion of Advocate General Emiliou delivered on 12 January 2023,ECLI:EU:C:2023:21,No,
Case C-695/20,Case C-695/20 Fenix International v Commissioners for Her Majesty's Revenue and Customs,Request for a preliminary ruling from the First-tier Tribunal (Tax Chamber),"Reference for a preliminary ruling – Implementing power of the Council of the European Union – Article 291(2) TFEU – Common system of value added tax (VAT) – Directive 2006/112/EC – Articles 28 and 397 – Taxable person, acting in his or her own name but on behalf of another person – Provider of services by electronic means – Implementing Regulation (EU) No 282/2011 – Article 9a – Presumption – Validity",ECLI:EU:C:2023:127,62020CJ0695,Yes,Opinion of Advocate General Rantos delivered on 15 September 2022,ECLI:EU:C:2022:685,No,
Case C-702/22 P,Case C-702/22 P Balaban v EUIPO,,,,,No,,,No,
Case C-783/22 P,Case C-783/22 P Bilkiewicz v EUIPO,,,,,No,,,No,
Case C-520/22,Case C-520/22 HOREZZA v Úrad pre verejné obstarávanie,,Reference for a preliminary ruling – Article 53(2) of the Rules of Procedure of the Court of Justice – Article 267 TFEU – Definition of ‘court or tribunal’ – Appellate body of a national supervisory authority for public procurement procedures – Independence – Status as third party in relation to the authority which adopted the contested decision – Manifest inadmissibility of the request for a preliminary ruling,,,No,,,No,
Case C-521/22,Case C-521/22 KONŠTRUKTA – Defence v Úrad pre verejné obstarávanie,,Reference for a preliminary ruling – Article 53(2) of the Rules of Procedure of the Court of Justice – Article 267 TFEU – Definition of ‘court or tribunal’ – Appellate body of a national supervisory authority for public procurement procedures – Independence – Status as third party in relation to the authority which adopted the contested decision – Manifest inadmissibility of the request for a preliminary ruling,,,No,,,No,
Case C-342/21,Case C-342/21 Commission v Slovakia (Limit values– PM10),,,ECLI:EU:C:2023:87,,No,,,No,
Case C-560/21,Case C-560/21 ZS v KISA,,,ECLI:EU:C:2023:81,,No,,,No,
Case C-668/21,Case C-668/21 Druvnieks v Lauku atbalsta dienests,,Reference for a preliminary ruling – Agriculture – Common agricultural policy – Support for rural development – Common rules – Regulation (EU) No 1306/2013 – Article 60 – Circumvention clause – Concept of ‘artificially created conditions’ – Rejection of an application for aid in view of the situation of an undertaking belonging to the same proprietor as the undertaking which applied for the aid concerned,ECLI:EU:C:2023:82,,No,,,No,
Case C-708/21 P,Case C-708/21 P Boshab v Council,,,ECLI:EU:C:2023:84,,No,,,No,
Case C-713/21,Case C-713/21 A v Finanzamt X (Supplies of the owner of a stable),,Reference for a preliminary ruling – Common system of value added tax (VAT) – Directive 2006/112/EC – Article 2(1)(c) – Concept of ‘supplies of services for consideration’ – Single supply consisting in the stabling and training of horses as well as their participation in competitions – Remuneration by assigning half of the claim to prize money corresponding to the prizes won by horses in competitions,ECLI:EU:C:2023:80,,No,,,No,
Case C-527/22 P,Case C-527/22 P Equinoccio-Compañía de Comercio Exterior v Commission,,,,,No,,,No,
Case C-546/21 P,Case C-546/21 P Fundacja Instytut na rzecz Kultury Prawnej Ordo Iuris v Parliament,,,,,No,,,No,
Case C-633/21,Case C-633/21 Commission v Greece (Limit values – ΝΟ2),,,ECLI:EU:C:2023:112,,No,,,No,
Case C-675/21,Case C-675/21 Strong Charon v 2045-Empresa de Segurança and FL,,Reference for a preliminary ruling – Social policy – Transfers of undertakings – Safeguarding of employees’ rights – Directive 2001/23/EC – Scope – Refusal by the transferee to recognise the transfer of the employment contract – Definition of ‘transfer’ – Definition of ‘economic unit’ – Absence of a contractual link between the transferor and the transferee,ECLI:EU:C:2023:108,,No,,,No,
Case C-483/22,Case C-483/22 KI v YB and JN (Transfer of a Portuguese notary's office),,Reference for a preliminary ruling – Article 53(2) and Article 94 of the Rules of Procedure of the Court of Justice – Requirement to present the factual and regulatory context of the dispute in the main proceedings – Lack of sufficient information – Manifest inadmissibility,,,No,,,No,
Case C-507/22 P,Case C-507/22 P Novais v Portugal,,,,,No,,,No,
Case C-586/22 P,Case C-586/22 P Pombo da Silva v Commission,,,,,No,,,No,
Case C-592/22 P,Case C-592/22 P Novais v Portugal,,,,,No,,,No,
Case C-681/22 P,Case C-681/22 P Olimp Laboratories v EUIPO,,,,,No,,,No,
Case C-285/21,Case C-285/21 Dalarjo and Others v Renault Trucks Sasu,,"Reference for a preliminary ruling – Article 99 of the Rules of Procedure of the Court – Agreements, decisions and concerted practices – Actions for damages for infringements of the provisions of EU competition law – European Commission decision finding an infringement – Specialised trucks – Articulated dumper",,,No,,,No,
Case C-254/22,Case C-254/22 AW and PN v Caixabank,,"Reference for a preliminary ruling – Articles 53 and 99 of the Rules of Procedure of the Court – Consumer protection – Directive 93/13/EEC – Unfair terms in consumer contracts – Directive 2014/17/EU – Mortgage loan – Variable interest rate – Term providing for the application of an interest rate calculated on the basis of a mortgage loan reference index (IRPH) plus 0.50% – Criteria for assessing whether such a term is unfair – Requirements of good faith, balance and transparency – Consequences of a finding that the term is unfair",,,No,,,No,
Case C-596/22,Case C-596/22 J.O. v Kreis Gütersloh,,Reference for a preliminary ruling – Article 99 of the Rules of Procedure of the Court of Justice – Environment – Assessment of the effects of certain public and private projects on the environment – Directive 2011/92/EU – Obligation to carry out an environmental impact assessment or a case-by-case examination – Cumulative effects of projects – Construction of a building for the rearing of broilers adjacent to similar buildings,,,No,,,No,
Case C-31/21,Case C-31/21 Eurocostruzioni v Regione Calabria,Request for a preliminary ruling from the Corte suprema di cassazione,Reference for a preliminary ruling – Structural Funds – Regulation (EC) No 1685/2000 – Eligibility of expenditure – Requirement of proof of payment – Receipted invoices – Accounting documents of equivalent probative value – Construction undertaken directly by the final beneficiary,ECLI:EU:C:2023:136,62021CJ0031,Yes,Opinion of Advocate General Campos Sánchez-Bordona delivered on 13 October 2022,ECLI:EU:C:2022:776,No,
Case C-78/21,Case C-78/21 PrivatBank and Others v Finanšu un kapitāla tirgus komisija,Request for a preliminary ruling from the Administratīvā apgabaltiesa,Reference for a preliminary ruling – Articles 56 and 63 TFEU – Freedom to provide services – Free movement of capital – National measure imposing an obligation on a credit institution to terminate business relationships with non-nationals or no longer to enter into such relationships – Restriction – Article 65(1)(b) TFEU – Justification – Directive (EU) 2015/849 – Prevention of the use of the financial system for the purpose of money laundering and terrorist financing – Proportionality,ECLI:EU:C:2023:137,62021CJ0078,Yes,Opinion of Advocate General Kokott delivered on 29 September 2022,ECLI:EU:C:2022:738,No,
Case C-268/21,Case C-268/21 Norra Stockholm Bygg v Per Nycander,Request for a preliminary ruling from the Högsta domstolen,Reference for a preliminary ruling – Protection of personal data – Regulation (EU) 2016/679 – Article 6(3) and (4) – Lawfulness of processing – Production of a document containing personal data in civil court proceedings – Article 23(1)(f) and (j) – Protection of judicial independence and judicial proceedings – Enforcement of civil law claims – Requirements to be complied with – Having regard to the interests of the data subjects – Balancing of the opposing interests involved – Article 5 – Minimisation of personal data – Charter of Fundamental Rights of the European Union – Article 7 – Right to respect for private life – Article 8 – Right to protection of personal data – Article 47 – Right to effective judicial protection – Principle of proportionality,ECLI:EU:C:2023:145,62021CJ0268,Yes,Opinion of Advocate General Ćapeta delivered on 6 October 2022,ECLI:EU:C:2022:755,No,
Case C-270/21,Case C-270/21 A (Nursery school teacher),Request for a preliminary ruling from the Korkein hallinto-oikeus,Reference for a preliminary ruling – Freedom of movement for workers – Recognition of professional qualifications in a Member State – Directive 2005/36/EC – Right to exercise the profession of nursery school teacher – Regulated profession – Right of access to the profession on the basis of a diploma issued in the home Member State – Professional qualification obtained in a third country,ECLI:EU:C:2023:147,62021CJ0270,Yes,Opinion of Advocate General Emiliou delivered on 8 September 2022,ECLI:EU:C:2022:658,No,
Case C-394/21,Case C-394/21 Bursa Română de Mărfuri v ANRE,Request for a preliminary ruling from the Curtea de Apel Bucureşti,"Reference for a preliminary ruling – Internal market for electricity – Directive 2009/72/EC – Regulation (EU) 2019/943 – Article 1(b) and (c) and Article 3 – Principles regarding the operation of electricity markets – Regulation (EU) 2015/1222 – Article 5(1) – Nominated electricity market operator – National legal monopoly for day-ahead and intraday trading services – National legislation providing for a monopoly for short-, medium- and long-term wholesale trading of electricity",ECLI:EU:C:2023:146,62021CJ0394,Yes,Opinion of Advocate General Rantos delivered on 29 September 2022,ECLI:EU:C:2022:743,No,
Joined Cases C-410/21 and C-661/21,Joined Cases C-410/21 and C-661/21 Criminal proceedings against FU and Others,,Reference for a preliminary ruling – Migrant workers – Social security – Legislation applicable – Regulation (EC) No 987/2009 – Article 5 – A1 certificate – Provisional withdrawal – Binding effect – Certificate fraudulently obtained or relied on – Regulation (EC) No 883/2004 – Article 13(1)(b)(i) – Persons normally pursuing an activity as an employed person in two or more Member States – Applicability of the legislation of the Member State in which the registered office is situated – Concept of ‘registered office’ – Undertaking which has obtained a Community licence for transport under Regulation (EC) No 1071/2009 and Regulation (EC) No 1072/2009 – Effect – Licence fraudulently obtained or relied on,ECLI:EU:C:2023:138,62021CJ0410,No,,,No,
Case C-432/21,Case C-432/21 Commission v Poland (Forest management and good practice),,,ECLI:EU:C:2023:139,62021CJ0432,No,,,No,
Case C-477/21,Case C-477/21 IH v MÁV-START,Request for a preliminary ruling from the Miskolci Törvényszék,Reference for a preliminary ruling – Social policy – Protection of the safety and health of workers – Organisation of working time – Article 31(2) of the Charter of Fundamental Rights of the European Union – Directive 2003/88/EC – Articles 3 and 5 – Daily rest and weekly rest – National legislation providing for a minimum weekly rest period of 42 hours – Obligation to grant daily rest – Rules for granting,ECLI:EU:C:2023:140,62021CJ0477,Yes,Opinion of Advocate General Pitruzzella delivered on 13 October 2022,ECLI:EU:C:2022:778,No,
Case C-664/21,Case C-664/21 Nec Plus Ultra Cosmetics v Republika Slovenija,Request for a preliminary ruling from the Vrhovno sodišče Republike Slovenije,"Reference for a preliminary ruling – Common system of value added tax (VAT) – Directive 2006/112/EC – Article 138(1) – Exemptions for intra-community transactions – Supply of goods – Principles of tax neutrality, effectiveness and proportionality – Compliance with substantive requirements – Time limit for the submission of evidence",ECLI:EU:C:2023:142,62021CJ0664,No,,,No,
Case C-666/21,Case C-666/21 A v Åklagarmyndigheten,Request for a preliminary ruling from the Hovrätten för Nedre Norrland,Reference for a preliminary ruling – Road transport – Regulation (EC) No 561/2006 – Scope – Article 2(1)(a) – Article 3(h) – Notion of ‘carriage by road of goods’ – Notion of ‘maximum permissible mass’ – Vehicle fitted out as a temporary private living space and for the non-commercial loading of goods – Regulation (EU) No 165/2014 – Tachographs – Article 23(1) – Requirement for regular inspections by approved workshops,ECLI:EU:C:2023:149,62021CJ0666,Yes,Opinion of Advocate General Emiliou delivered on 24 November 2022,ECLI:EU:C:2022:932,No,
Case C-684/21,Case C-684/21 Papierfabriek Doetinchem v Sprick GmbH Bielefelder Papier- und Wellpappenwerk & Co.,Request for a preliminary ruling from the Oberlandesgericht Düsseldorf,Reference for a preliminary ruling – Intellectual property – Community designs – Regulation (EC) No 6/2002 – Article 8(1) – Features of appearance of a product dictated solely by its technical function – Criteria for assessment – Existence of alternative designs – Proprietor also holding a multitude of alternative protected designs – Multicolour appearance of a product not reflected in the registration of the design concerned,ECLI:EU:C:2023:141,62021CJ0684,No,,,No,
Case C-695/21,Case C-695/21 Recreatieprojecten Zeeland and Others v Belgische Staat,Request for a preliminary ruling from the Nederlandstalige rechtbank van eerste aanleg Brussel,Reference for a preliminary ruling – Freedom to provide services – Article 56 TFEU – Restrictions on the freedom to provide services – Games of chance – Legislation of a Member State laying down a general ban on advertising by gaming establishments – Automatic derogation from that ban for establishments holding an operating licence issued by the authorities of that Member State – No possibility of derogation for establishments located in another Member State,ECLI:EU:C:2023:144,62021CJ0695,No,,,No,
Case C-760/21,Case C-760/21 Kwizda Pharma v Landeshauptmann von Wien,Request for a preliminary ruling from the Verwaltungsgericht Wien,Reference for a preliminary ruling – Food safety – Food – Regulation (EU) No 609/2013 – Article 2(2)(g) – Concept of ‘food for special medical purposes’ – Other particular nutritional requirements – Nutritional requirements – Modification of the diet – Nutrients – Use under medical supervision – Ingredients not absorbed or metabolised in the alimentary canal – Distinction in relation to medicinal products – Distinction in relation to food supplements,ECLI:EU:C:2023:143,62021CJ0760,No,,,No,
Case C-16/22,Case C-16/22 Staatsanwaltschaft Graz v MS (Düsseldorf tax office for criminal tax matters),Request for a preliminary ruling from the Oberlandesgericht Graz,"Reference for a preliminary ruling – Area of freedom, security and justice – Judicial cooperation in criminal matters – Directive 2014/41/EU – European Investigation Order – Article 1(1) – Concept of ‘judicial authority’ – Article 2(c) – Concept of ‘issuing authority’ – Order issued by a tax authority without being validated by a judge or public prosecutor – Tax authority assuming the rights and the obligations of the public prosecutor’s office in the context of a criminal tax investigation",ECLI:EU:C:2023:148,62022CJ0016,No,,,No,
Case C-682/20 P,Case C-682/20 P Les Mousquetaires and ITM Entreprises v Commission,,,ECLI:EU:C:2023:170,62020CJ0682,Yes,Opinion of Advocate General Pitruzzella delivered on 14 July 2022,ECLI:EU:C:2022:578,No,
Case C-690/20 P,"Case C-690/20 P Casino, Guichard-Perrachon and AMC v Commission",,,ECLI:EU:C:2023:171,62020CJ0690,Yes,Opinion of Advocate General Pitruzzella delivered on 14 July 2022,ECLI:EU:C:2022:579,No,
Case C-693/20 P,Case C-693/20 P Intermarché Casino Achats v Commission,,,ECLI:EU:C:2023:172,62020CJ0693,No,,,No,
Case C-46/21 P,Case C-46/21 P ACER v Aquind,,,ECLI:EU:C:2023:182,62021CJ0046,Yes,Opinion of Advocate General Campos Sánchez-Bordona delivered on 15 September 2022,ECLI:EU:C:2022:695,No,
Case C-119/21 P,Case C-119/21 P PlasticsEurope v ECHA,,,ECLI:EU:C:2023:180,62021CJ0119,Yes,Opinion of Advocate General Szpunar delivered on 8 September 2022,ECLI:EU:C:2022:655,No,
Case C-354/21,Case C-354/21 R.J.R. v Registrų centras VĮ,Request for a preliminary ruling from the Lietuvos vyriausiasis administracinis teismas,Reference for a preliminary ruling – Judicial cooperation in civil matters – European Certificate of Succession – Regulation (EU) No 650/2012 – Article 1(2)(l) – Scope – Article 68 – Contents of the European Certificate of Succession – Article 69(5) – Effects of the European Certificate of Succession – Succession immovable property located in a Member State other than that of the succession – Registration of that immovable property in the land register of that Member State – Legal requirements for such registration under the law of that Member State – Implementing Regulation (EU) No 1329/2014 – Mandatory nature of Form V in Annex 5 to that implementing regulation,ECLI:EU:C:2023:184,62021CJ0354,Yes,Opinion of Advocate General Szpunar delivered on 14 July 2022,ECLI:EU:C:2022:587,No,
Case C-375/21,Case C-375/21 Sdruzhenie 'Za Zemyata – dostap do pravosadie' and Others v Izpalnitelen director na Izpalnitelna agentsia po okolna sreda and 'TETS Maritsa iztok 2' EAD,Request for a preliminary ruling from the Varhoven administrativen sad,Reference for a preliminary ruling – Environment – Ambient air quality – Directive 2008/50/EC – Articles 13 and 23 – Limit values for the protection of human health – Exceedance – Air quality plan – Directive 2010/75/EU – Integrated pollution prevention and control – Update of a permit to operate a power plant – Emission limit values – Article 15(4) – Application for a derogation setting less strict emission limit values – Significant pollution – Article 18 – Compliance with environmental quality standards – Obligations of the competent authority,ECLI:EU:C:2023:173,62021CJ0375,Yes,Opinion of Advocate General Kokott delivered on 22 September 2022,ECLI:EU:C:2022:713,No,
Case C-571/21,Case C-571/21 RWE Power v Hauptzollamt Duisburg,Request for a preliminary ruling from the Finanzgericht Düsseldorf,Reference for a preliminary ruling – Taxation of energy products and electricity – Directive 2003/96/EC – Article 14(1)(a) – Second and third sentences of Article 21(3) – Electricity used to produce electricity and to maintain the ability to produce electricity – Exemption – Scope – Opencast mining operations – Electricity used in order to operate fuel bunkers and means of transport,ECLI:EU:C:2023:186,62021CJ0571,Yes,Opinion of Advocate General Rantos delivered on 13 October 2022,ECLI:EU:C:2022:780,No,
Case C-604/21,Case C-604/21 Vapo Atlantic v ENSE,Request for a preliminary ruling from the Tribunal Administrativo e Fiscal de Braga,Reference for a preliminary ruling – Information procedure in the field of technical standards and regulations and of rules on Information Society services – Directive 98/34/EC – Article 1(4) – Concept of ‘other requirements’ – Article 1(11) – Concept of ‘technical regulation’ – Article 8(1) – Obligation on the Member States to notify the European Commission of any draft technical regulation – National provision providing for the incorporation of a certain percentage of biofuels into motor fuels – Third indent of Article 10(1) – Concept of ‘safeguard clause provided for in a binding EU act’ – Second subparagraph of Article 4(1) of Directive 2009/30/EC not included,ECLI:EU:C:2023:175,62021CJ0604,No,,,No,
Case C-725/21,Case C-725/21 SOMEO (anciennement PEARL STREAM) v Republika Slovenija,Request for a preliminary ruling from the Vrhovno sodišče Republike Slovenije,Reference for a preliminary ruling – Customs Union – Common Customs Tariff – Tariff classification – Combined Nomenclature – Subheading 9401 90 80 – Parts of seats for motor vehicles – Net for making pockets in the rear part of seats – Protection for the inside of seats,ECLI:EU:C:2023:194,62021CJ0725,No,,,No,
Case C-752/21,Case C-752/21 JP v Otdel - Mitnichesko razsledvane i razuznavane,Request for a preliminary ruling from the Administrativen sad - Haskovo,Reference for a preliminary ruling – Regulation (EU) No 952/2013 – Union Customs Code – Legal remedies – Judicial cooperation in criminal matters – Framework Decision 2005/212/JHA – Smuggled goods – Goods belonging to a third party seized in the course of administrative-offence proceedings – National legislation excluding that third party from the category of persons entitled to bring an action against the administrative penalty notice ordering the seizure,ECLI:EU:C:2023:179,62021CJ0752,No,,,No,
Case C-9/22,Case C-9/22 NJ and OZ v An Bord Pleanála and Others (Site of St Teresa’s Gardens),Request for a preliminary ruling from the High Court (Irlande),"Reference for a preliminary ruling – Environment – Directive 2001/42/EC – Assessment of the effects of certain plans and programmes on the environment – Article 2(a) – Concept of ‘plans and programmes’ – Article 3(2)(a) – Environmental assessment – Non-statutory act prepared by a municipal council and a developer – Directive 2011/92/EU – Assessment of the effects of certain public and private projects on the environment – Article 3(1) – Obligation to identify, describe and assess in an appropriate manner, in the light of each individual case, the direct and indirect effects of a project – Binding ministerial guidelines on building height",ECLI:EU:C:2023:176,62022CJ0009,No,,,No,
Case C-42/22,Case C-42/22 Generali Seguros v Autoridade Tributária e Aduaneira,Request for a preliminary ruling from the Supremo Tribunal Administrativo,Reference for a preliminary ruling – Common system of value added tax (VAT) – Directive 2006/112/EC – Exemption from VAT – Article 135(1)(a) – Exemption of insurance and reinsurance transactions – Article 136(a) – Exemption of supplies of goods used solely for an exempt activity – Concept of ‘insurance transactions’ – Resale of parts from written-off motor vehicles purchased from insured persons – Principle of fiscal neutrality,ECLI:EU:C:2023:183,62022CJ0042,No,,,No,
Case C-50/22,Case C-50/22 Sogefinancement v RW and UV,Request for a preliminary ruling from the Cour d'appel de Paris,"Reference for a preliminary ruling – Consumer protection – Directive 2008/48/EC – Credit agreements for consumers – Scope – Right of withdrawal – Article 14(7) – National provisions establishing a period of time during which the performance of the contract may not begin – National procedural rules governing how the national courts raise of their own motion and penalise breaches of those provisions – Article 23 – Effective, proportionate and dissuasive sanctions",ECLI:EU:C:2023:177,62022CJ0050,No,,,No,
Case C-177/22,Case C-177/22 JA v Wurth Automotive,Request for a preliminary ruling from the Landesgericht Salzburg,"Reference for a preliminary ruling – Judicial cooperation in civil matters – Regulation (EU) No 1215/2012 – Jurisdiction over consumer contracts – Concept of ‘consumer’ – Conduct of the person claiming the status of consumer that may give rise to the impression, on the part of the other contracting party, that he or she is acting for professional purposes",ECLI:EU:C:2023:185,62022CJ0177,No,,,No,
Case C-239/22,Case C-239/22 État belge and Promo 54 v Promo 54 and Belgian State,Request for a preliminary ruling from the Cour de cassation,"Reference for a preliminary ruling – Common system of value added tax (VAT) – Directive 2006/112/EC – Article 12(1) and (2) – Supply, before first occupation, of a building or parts of a building and of the land on which the building stands – No provisions in national law providing for detailed rules for applying the criterion relating to first occupation – Article 135(1)(j) – Exemptions – Supply, after conversion, of a building which was the subject of a first occupation before the conversion – National administrative legal commentary treating buildings which have undergone substantial conversions in the same way as new buildings",ECLI:EU:C:2023:181,62022CJ0239,No,,,No,
Case C-356/22,Case C-356/22 Pro Rauchfrei v JS eK,Request for a preliminary ruling from the Bundesgerichtshof,"Reference for a preliminary ruling – Manufacture, presentation and sale of tobacco products – Directive 2014/40/EU – Labelling and packaging – Article 2(40) – Concept of ‘placing on the market’ – Article 8(3) – Health warnings to appear on each unit packet of a tobacco product and any outside packaging – Prohibition on hiding – Automatic vending machines for packets of cigarettes – Packets of cigarettes which are not visible from the outside",ECLI:EU:C:2023:174,62022CJ0356,No,,,No,
Case C-358/22,Case C-358/22 Bolloré logistics v Direction interrégionale des douanes et droits indirects de Caen and Others,Request for a preliminary ruling from the Cour de cassation,Reference for a preliminary ruling – Customs union – Regulation (EEC) No 2913/92 – Community Customs Code – Article 195 – Article 217(1) – Article 221(1) – Common Customs Tariff – Obligations on the part of the guarantor of the debtor of a customs debt – Procedures for the communication of the customs debt – Duty corresponding to that debt which has not been lawfully communicated to the debtor – Whether the customs debt is payable by the joint and several guarantor,ECLI:EU:C:2023:178,62022CJ0358,No,,,No,
Case C-607/22,Case C-607/22 Eurowings v flightright (Non-existent flight),Request for a preliminary ruling from the Landgericht Düsseldorf,Reference for a preliminary ruling – Article 99 of the Rules of Procedure of the Court of Justice – Air transport – Regulation (EC) No 261/2004 – Common rules on compensation and assistance to passengers in the event of denied boarding and of cancellation or long delay of flights – Article 2 – Concept of ‘operating air carrier’ – Flight booked through a tour operator – Allegedly non-existent flight,,,No,,,No,
Case C-611/22 P,Case C-611/22 P Illumina v Commission,,,,,No,,,No,
Case C-625/22 P,Case C-625/22 P Grail v Commission and Illumina,,,,,No,,,No,
Joined Cases C-439/20 P and C-441/20 P,Joined Cases C-439/20 P and C-441/20 P Commission v Jiangsu Seraphim Solar System and Council v Jiangsu Seraphim Solar System,,,ECLI:EU:C:2023:211,62020CJ0439,Yes,Opinion of Advocate General Pitruzzella delivered on 14 July 2022,ECLI:EU:C:2022:585,No,
Case C-127/21 P,Case C-127/21 P American Airlines v Commission,,,ECLI:EU:C:2023:209,62021CJ0127,Yes,Opinion of Advocate General Rantos delivered on 14 July 2022,ECLI:EU:C:2022:584,No,
Case C-174/21,Case C-174/21 Commission v Bulgaria (Twofold failure to fulfil obligations – PM10 pollution),,,ECLI:EU:C:2023:210,62021CJ0174,Yes,Opinion of Advocate General Kokott delivered on 17 November 2022,ECLI:EU:C:2022:903,No,
Case C-339/21,Case C-339/21 Colt Technology Services and Others v Ministero della Giustizia and Others,Request for a preliminary ruling from the Consiglio di Stato,"Reference for a preliminary ruling – Electronic communications networks and services – Directive (EU) 2018/1972 – Article 13 – Conditions attached to the general authorisation – Annex I, Part A, point 4 – Enabling of legal interception by competent national authorities – Article 3 – General objectives – National legislation on the reimbursement of costs associated with interception activities that telecommunications operators are ordered by the judicial authorities to carry out – Absence of full reimbursement mechanism – Principles of non-discrimination, proportionality and transparency",ECLI:EU:C:2023:214,62021CJ0339,Yes,Opinion of Advocate General Collins delivered on 6 October 2022,ECLI:EU:C:2022:761,No,
Case C-351/21,Case C-351/21 ZG v Beobank,Request for a preliminary ruling from the Justice de paix du canton de Forest,"Reference for a preliminary ruling – Approximation of laws – Payment services in the internal market – Directive 2007/64/EC – Article 47(1)(a) – Information for the payer after receipt of the payment order – Articles 58, 60 and 61 – Payment service provider’s liability for unauthorised transactions – Obligation of that service provider to refund unauthorised transactions to the payer – Framework contracts – Obligation of that service provider to provide that payer with information relating to the payee concerned",ECLI:EU:C:2023:215,62021CJ0351,Yes,Opinion of Advocate General Szpunar delivered on 7 July 2022,ECLI:EU:C:2022:541,No,
Joined Cases C-438/21 P to C-440/21 P,Joined Cases C-438/21 P to C-440/21 P Commission and Biogen Netherlands v EMA and EMA v Pharmaceutical Works Polpharma,,,ECLI:EU:C:2023:213,62021CJ0438,Yes,Opinion of Advocate General Medina delivered on 6 October 2022,ECLI:EU:C:2022:758,No,
Case C-449/21,Case C-449/21 Towercast v Autorité de la concurrence and Ministère de l’Économie,Request for a preliminary ruling from the Cour d'appel de Paris,"Reference for a preliminary ruling – Competition – Control of concentrations between undertakings – Regulation (EC) No 139/2004 – Article 21(1) – Exclusive application of that regulation to operations covered by the concept of ‘concentration’ – Scope – Concentration operation which has no Community dimension, is below the thresholds for mandatory ex ante control laid down in the law of a Member State and has not been referred to the European Commission – Control of such an operation by the competition authorities of that Member State in the light of Article 102 TFEU – Whether permissible",ECLI:EU:C:2023:207,62021CJ0449,Yes,Opinion of Advocate General Kokott delivered on 13 October 2022,ECLI:EU:C:2022:777,No,
Case C-511/21 P,Case C-511/21 P Commission v Calhau Correia de Paiva,,,ECLI:EU:C:2023:208,62021CJ0511,Yes,Opinion of Advocate General Medina delivered on 17 November 2022,ECLI:EU:C:2022:902,No,
Case C-522/21,Case C-522/21 MS v Saatgut-Treuhandverwaltung (KWS Meridian),Request for a preliminary ruling from the Pfälzisches Oberlandesgericht,Reference for a preliminary ruling – Intellectual property – Protection of plant varieties – Regulation (EC) No 2100/94 – Derogation provided for in Article 14(3) – Article 94(2) – Infringement – Right to compensation – Regulation (EC) No 1768/95 – Article 18(2) – Compensation for damage – Minimum lump sum calculated on the basis of quadruple the licence fee – Competence of the European Commission – Invalidity,ECLI:EU:C:2023:218,62021CJ0522,Yes,Opinion of Advocate General Szpunar delivered on 27 October 2022,ECLI:EU:C:2022:847,No,
Case C-565/21,Case C-565/21 Caixabank v X (Loan arrangement fees),Request for a preliminary ruling from the Tribunal Supremo,"Reference for a preliminary ruling – Consumer protection – Directive 93/13/EEC – Articles 3, 4 and 5 – Consumer contracts – Mortgage loans – Unfair terms – Term concerning loan arrangement fees – Application seeking a declaration of invalidity of that term and reimbursement of the amount paid on that basis – Plainness and intelligibility of the terms – Existence of specific national legislation",ECLI:EU:C:2023:212,62021CJ0565,No,,,No,
Case C-6/22,Case C-6/22 M.B. and Others (Effects of the invalidation of a contract),Request for a preliminary ruling from the Sąd Rejonowy dla Warszawy-Woli w Warszawie,Reference for a preliminary ruling – Consumer protection – Directive 93/13/EEC – Unfair terms in consumer contracts – Articles 6 and 7 – Effects of a declaration that a term is unfair – Mortgage loan agreement indexed to a foreign currency – Continued existence of the contract without unfair terms – Consumer’s wish to have the contract declared invalid – Application of the directive after the invalidation of the contract – Powers and obligations of the national court,ECLI:EU:C:2023:216,62022CJ0006,No,,,No,
Case C-493/22,Case C-493/22 ARMAPROCURE v Ministerul Apărării Naţionale and BlueSpace TECHNOLOGY,Request for a preliminary ruling from the Curtea de Apel Bucureşti,Reference for a preliminary ruling – Article 99 of the Rules of Procedure of the Court of Justice – Public procurement – Directive 2009/81/EC – Article 55(4) – Article 57(2) – Interest in bringing proceedings – Access to the review procedures – Tenderer excluded from a public procurement procedure by a decision of the contracting authority that has become final – National regulation depriving such a tenderer of access to a means of appeal – No interest in bringing proceedings,,,No,,,No,
